Order ID,Order Status All,Unprocessed Order Flag,Pending Order Flag,Backordered Order Flag,Shipped Order Flag,Complete Order Flag,Canceled Order Flag,Order Date,Date Needed By,Rush Order,Total # of Offer Lines Ordered,Total # of Offer Units Ordered,Order Ship To Requested Freight Carrier
8378181226,S X C ,1,0,0,1,1,1,01/12/2026 08:00:02,01/12/2026,0,4,,Virtual Ve
8378181347,S C ,1,0,0,1,1,0,01/12/2026 08:00:07,01/12/2026,0,2,,SAIA
8378181349,S C ,1,0,0,1,1,0,01/12/2026 08:00:08,01/13/2026,0,1,,UPS
8378181350,S C ,1,0,0,1,1,0,01/12/2026 08:00:08,01/13/2026,0,1,,UPS
8378181351,S C ,1,0,0,1,1,0,01/12/2026 08:00:09,01/13/2026,0,1,,UPS
8378181352,S C ,1,0,0,1,1,0,01/12/2026 08:00:10,01/13/2026,0,1,,UPS
8378181353,S C ,1,0,0,1,1,0,01/12/2026 08:00:12,01/13/2026,0,5,,Virtual Ve
8378181354,S C ,1,0,0,1,1,0,01/12/2026 08:00:13,01/12/2026,0,1,,UPS
8378181355,S C ,1,0,0,1,1,0,01/12/2026 08:00:15,01/13/2026,0,1,,UPS
8378181356,S C ,1,0,0,1,1,0,01/12/2026 08:00:16,01/13/2026,0,2,,DHL eCommerce
8378181357,S C ,1,0,0,1,1,0,01/12/2026 08:00:17,01/13/2026,0,1,,UPS
8378181360,S C ,1,0,0,1,1,0,01/12/2026 08:00:18,01/12/2026,0,1,,DHL eCommerce
8378181362,S C ,1,0,0,1,1,0,01/12/2026 08:00:19,01/12/2026,0,1,,DHL eCommerce
8378181367,S C ,1,0,0,1,1,0,01/12/2026 08:00:20,01/13/2026,0,1,,UPS
8378181368,S C ,1,0,0,1,1,0,01/12/2026 08:00:21,01/13/2026,0,1,,UPS
8378181369,S X C ,1,0,0,1,1,1,01/12/2026 08:00:22,01/13/2026,0,2,,UPS
8378181376,S C ,1,0,0,1,1,0,01/12/2026 08:00:23,01/12/2026,0,2,,DHL eCommerce
8378181377,S C ,1,0,0,1,1,0,01/12/2026 08:00:24,01/12/2026,0,3,,DHL eCommerce
